der Start	αρχή, ξεκίνημα
die Natur	φύση
der Transport, die Transporte	μεταφορά
der Hafen, die Häfen	λιμάνι
der Gruß, die Grüße	χαιρετισμός, χαιρετίσματα
aus	από
das Opernhaus, die Opernhäuser	μέγαρο της Όπερας
das Museum, die Museen	μουσείο
der Garten, die Gärten	κήπος
Grüezi	Γεια σου! Γεια σας! [ελβετικά Γερμανικά]
die Schweiz	Ελβετία
die Schokolade, die Schokoladen	σοκολάτα
und	και
die Milch	γάλα
der Wintersport	χειμερινά σπορ
das Taschenmesser, die Taschenmesser	σουγιάς
die Technik	τεχνολογία
ankommen, er kommt an	φθάνω (κάπου)
sehen, er sieht	βλέπω
leben, er lebt	ζω
die Musik	μουσική
der Sport	αθλητισμός, σπορ
wo	πού
das Alphabet	αλφάβητο
hören, er hört	ακούω
lesen, er liest	διαβάζω
Sie	εσείς [τύπος ευγένειας]
das Abc	αλφάβητο
sein, er ist, er war	είμαι
komplett	πλήρης, κομπλέ
sprechen, er spricht	μιλώ
erst	πρώτα
langsam	αργός, αργά
dann	μετά, κατόπιν
schnell	γρήγορος, γρήγορα
nachsprechen, er spricht nach	επαναλαμβάνω
ander-	άλλος, άλλη, άλλο
die Sprache, die Sprachen	γλώσσα
was	τι
die Stadt, die Städte	πόλη
in	σε
D-A-CH	Γερμανία - Αυστρία - Ελβετία
schreiben, er schreibt	γράφω
noch	ακόμα
einmal	μια φορά
markieren, er markiert	σημειώνω
der Wortakzent	σημείο όπου τονίζεται η λέξη
wie	[εδώ!] όπως
das Beispiel, die Beispiele	παράδειγμα
Deutschland	Γερμανία
Österreich	Αυστρία
arbeiten, er arbeitet	δουλεύω, εργάζομαι
mit	με
die Karte, die Karten	[εδώ!] χάρτης
vorn(e)	μπροστά
das Buch, die Bücher	βιβλίο
drei	τρεις
buchstabieren, er buchstabiert	συλλαβίζω
der Partner, die Partner / die Partnerin, die Partnerinnen	[εδώ!] συμμαθητής, συμμαθήτρια
kontrollieren, er kontrolliert	ελέγχω
telefonieren, er telefoniert	τηλεφωνώ
Guten Tag!	Καλημέρα!
der Herr, die Herren	κύριος
das Telefongespräch, die Telefongespräche	τηλεφώνημα, τηλεφωνική συνδιάλεξη
die Frau, die Frauen	γυναίκα, [εδώ!] κυρία
hier	εδώ
denn	[αμετάφραστο μόριο που δίνει ζωντάνια σε μια ερώτηση]
da	[εδώ!] εκεί
danke	ευχαριστώ
der Moment, die Momente	στιγμή
bitte	παρακαλώ
der Dialog, die Dialoge	διάλογος
Ihr, Ihre, Ihr	δικός σας, δική σας, δικό σας [τύπος ευγένειας]
der Name, die Namen	όνομα
mein, meine, mein	δικός μου, δική μου, δικό μου
wie	[εδώ!] πώς
man	κανείς [αόριστη αντωνυμία]
das	αυτό
Wie schreibt man das?	Πώς γράφεται;
auswählen, er wählt aus	επιλέγω
die Frage, die Fragen	ερώτηση
die Antwort, die Antworten	απάντηση
der Deutschkurs, die Deutschkurse	τμήμα/τάξη Γερμανικών
heißen, er heißt	ονομάζομαι, λέγομαι
auf	(πάνω) σε
Deutsch	Γερμανικά
Wie heißt das auf Deutsch?	Πώς λέγεται αυτό στα γερμανικά;
kein, keine, kein	δεν [αρνητικό αόριστο άρθρο]
die Ahnung (Keine Ahnung!)	ιδέα, γνώση (Δεν έχω ιδέα!)
können, er kann, er konnte	μπορώ
du	εσύ
das Verb, die Verben	ρήμα
an	(πλάι) σε
die Tafel, die Tafeln	πίνακας
