das Klassentreffen	επανένωση (παλιών συμμαθητών), reunion
das Abi/Abitur	απολυτήριο (λυκείου)
schulfrei (haben)	δεν έχω σχολείο
das Gymnasium, die Gymnasien	(γερμανικό) γυμνάσιο + λύκειο
die Aula, die Aulas/Aulen	αίθουσα εκδηλώσεων (σχολείου)
die Führung, die Führungen	ξενάγηση
das Abendessen	δείπνο
dabei/sein, er ist dabei, er war dabei	συμμετέχω, είμαι μέσα
sich melden, er meldet sich, er hat sich gemeldet	δηλώνομαι, δηλώνω συμμετοχή
sich wieder/sehen, man sieht sich wieder,	ξαναβλέπομαι, συναντιέμαι ξανά
der Schulausflug, die Schulausflüge	σχολική εκδρομή
die Abiparty, die Abipartys	πάρτι αποφοίτησης
die Abiturprüfung, die Abiturprüfungen	απολυτήριες εξετάσεις
die Kolumne, die Kolumnen	[εδώ!] σχόλιο
ein paar	μερικοί, -ές, -ά
die Kiste, die Kisten	κουτί, κιβώτιο
damals	τότε
die Abizeitung, die Abizeitungen	(επετειακή) εφημερίδα αποφοίτησης
holen, er holt, er hat geholt	παίρνω, βγάζω
plötzlich	ξαφνικά
die Schulzeit	μαθητικά χρόνια
die Zukunft	μέλλον
jobben, er jobbt, er hat gejobbt	δουλεύω (περιστασιακά)
sich verlieben, er verliebt sich, er hat sich verliebt in + Akk	ερωτεύομαι
wohl	[εδώ!] άραγε
hoffen, er hofft, er hat gehofft	ελπίζω
das Wiedersehen	[εδώ!] συνάντηση
der Schuldirektor, die Schuldirektoren	διευθυντής του σχολείου
die E-Mailadresse, die E-Mailadressen	ηλεκτρονική διεύθυνση
der Mitschüler, die Mitschüler / die Mitschülerin,	συμμαθητής / συμμαθήτρια
der Preis, die Preise	[εδώ!] τιμή
das Buffet/Büfett	κρύος μπουφές
der Kursspaziergang	βόλτα στο τμήμα
auf/hängen, er hängt auf, er hat aufgehängt	κρεμάω
das Abitreffen	συνάντηση αποφοίτων
dass	ότι, που, να
wirklich	πράγματι, πραγματικά
übrigens	μια και το ‚φερε η κουβέντα, παρεμπιπτόντως
funktionieren, es funktioniert, es hat funktioniert	λειτουργεί
vielleicht	ίσως, μήπως
das Reflexivpronomen, die Reflexivpronomen	αυτοπαθής αντωνυμία
reflexiv	αυτοπαθής
der Unterschied, die Unterschiede	διαφορά
der Auslaut	ληκτικός φθόγγος, τέλος της λέξης
achten, er achtet, er hat geachtet auf + Akk	προσέχω (κάτι)
spannend	πολύ ενδιαφέρων
der Nebensatz, die Nebensätze	δευτερεύουσα πρόταση
das Profil, die Profile	προφίλ, ταυτότητα
der Spitzname, die Spitznamen	παρατσούκλι
der Kumpel, die Kumpel	φιλαράκι
der Volleyball	βόλεϊ
der Motorroller, die Motorroller	μηχανάκι
Techno	μουσική techno
